epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,20186.7,2.7206,1.59621,0.00371,0.35484,0.43983,0.30782,0.12516,2.72237,1.85223,0.00508,0.003664,0.003664,0.003664
66,20492.8,2.71689,1.5768,0.00367,0.36574,0.42912,0.312,0.12305,2.746,1.83039,0.00512,0.003565,0.003565,0.003565
67,20797,2.7285,1.58356,0.00366,0.35356,0.43395,0.30867,0.12522,2.75318,1.85171,0.00519,0.003466,0.003466,0.003466
68,21099.8,2.71087,1.56802,0.00366,0.36093,0.43313,0.31064,0.12405,2.73486,1.86509,0.00512,0.003367,0.003367,0.003367
69,21403.8,2.69888,1.57328,0.00369,0.36505,0.43605,0.31214,0.12643,2.74946,1.8674,0.00514,0.003268,0.003268,0.003268
70,21708.8,2.71589,1.57711,0.00366,0.36297,0.43037,0.31263,0.12853,2.75052,1.84362,0.00514,0.003169,0.003169,0.003169
71,22014.3,2.70354,1.57062,0.00365,0.36919,0.43353,0.31159,0.13072,2.71514,1.83175,0.00508,0.00307,0.00307,0.00307
72,22320.1,2.70772,1.56748,0.00363,0.35648,0.43889,0.31189,0.12796,2.73397,1.84783,0.00512,0.002971,0.002971,0.002971
73,22627.3,2.69971,1.56286,0.00364,0.36969,0.42705,0.31061,0.12658,2.74216,1.8609,0.00509,0.002872,0.002872,0.002872
74,22956,2.70219,1.55871,0.00363,0.35859,0.43326,0.30869,0.12441,2.76914,1.8695,0.00514,0.002773,0.002773,0.002773
75,23261.6,2.68728,1.56041,0.00362,0.36795,0.43698,0.31267,0.12867,2.7348,1.84591,0.00514,0.002674,0.002674,0.002674
76,23566.5,2.69741,1.56418,0.00364,0.37474,0.43045,0.31677,0.13199,2.7285,1.84167,0.00512,0.002575,0.002575,0.002575
77,23874.4,2.67594,1.54591,0.00367,0.36818,0.43335,0.31304,0.12687,2.74425,1.83743,0.00513,0.002476,0.002476,0.002476
78,24181.5,2.6776,1.54815,0.00362,0.36181,0.43116,0.30734,0.12534,2.7547,1.87016,0.00516,0.002377,0.002377,0.002377
79,24486.6,2.67418,1.54656,0.00359,0.36197,0.43749,0.31256,0.1251,2.74169,1.81592,0.00513,0.002278,0.002278,0.002278
80,24788.8,2.6806,1.5431,0.00355,0.36255,0.4311,0.30825,0.12614,2.75641,1.85496,0.00517,0.002179,0.002179,0.002179
81,25093.5,2.67505,1.54431,0.00359,0.36866,0.44092,0.31094,0.12505,2.74178,1.84462,0.00511,0.00208,0.00208,0.00208
82,25395.6,2.67943,1.55313,0.00359,0.36373,0.43744,0.31192,0.12705,2.73822,1.8784,0.00513,0.001981,0.001981,0.001981
83,25713.1,2.66554,1.54114,0.00361,0.36658,0.43726,0.31711,0.13055,2.72526,1.82873,0.00509,0.001882,0.001882,0.001882
84,26024,2.68069,1.54891,0.00362,0.36817,0.43543,0.31295,0.12728,2.73826,1.87139,0.00514,0.001783,0.001783,0.001783
85,26331.3,2.65461,1.52507,0.00354,0.36624,0.439,0.31497,0.12868,2.74387,1.86037,0.00513,0.001684,0.001684,0.001684
86,26640.3,2.67875,1.54013,0.00353,0.37233,0.43983,0.31675,0.12929,2.73456,1.83057,0.00509,0.001585,0.001585,0.001585
87,26954.1,2.65915,1.53701,0.00359,0.37426,0.43652,0.31658,0.12949,2.74655,1.82633,0.00514,0.001486,0.001486,0.001486
88,27261.3,2.64882,1.53177,0.00355,0.37395,0.43621,0.31318,0.12695,2.74624,1.85123,0.00512,0.001387,0.001387,0.001387
89,27567.3,2.6594,1.53115,0.00357,0.36378,0.43722,0.31306,0.12814,2.75618,1.86006,0.00517,0.001288,0.001288,0.001288
90,27876.5,2.65728,1.53358,0.00354,0.36649,0.43458,0.3129,0.12728,2.73531,1.84843,0.00511,0.001189,0.001189,0.001189
91,28169.1,2.63897,1.56169,0.00389,0.35568,0.43615,0.30853,0.12348,2.7633,1.8701,0.00516,0.00109,0.00109,0.00109
92,28461.3,2.60848,1.53194,0.00383,0.36186,0.44345,0.31604,0.12847,2.74487,1.84393,0.00511,0.000991,0.000991,0.000991
93,28754.1,2.60884,1.52719,0.00381,0.36787,0.43927,0.31537,0.12633,2.75272,1.85709,0.00513,0.000892,0.000892,0.000892
94,29048.9,2.61368,1.5252,0.00382,0.36701,0.43436,0.31201,0.12632,2.75621,1.85065,0.00514,0.000793,0.000793,0.000793
95,29340.1,2.59683,1.52002,0.00381,0.36429,0.43484,0.31219,0.12671,2.74967,1.85134,0.00516,0.000694,0.000694,0.000694
96,29631.1,2.59766,1.5155,0.00382,0.36534,0.43185,0.30876,0.12505,2.75007,1.84893,0.00512,0.000595,0.000595,0.000595
97,29924.2,2.59801,1.51828,0.00378,0.36336,0.43869,0.3113,0.12599,2.74481,1.85207,0.00512,0.000496,0.000496,0.000496
98,30216.5,2.58828,1.51581,0.00383,0.36422,0.43871,0.30992,0.12524,2.74665,1.8579,0.00514,0.000397,0.000397,0.000397
99,30510.3,2.59046,1.50974,0.0038,0.36491,0.43656,0.31163,0.12642,2.74864,1.85317,0.00514,0.000298,0.000298,0.000298
100,30803,2.59347,1.51332,0.00379,0.36777,0.43883,0.3129,0.12669,2.74603,1.8522,0.00514,0.000199,0.000199,0.000199
